event_time,user_id,event_type,product_id,category_code,user_session,hour,date,event_date
2023-01-01 00:00:00,user_0,view,prod_0,electronics,session_0,0,01-01-2023,2023-01-01
2023-01-01 01:00:00,user_1,cart,prod_1,apparel,session_1,1,01-01-2023,2023-01-01
2023-01-01 02:00:00,user_2,purchase,prod_2,home,session_2,2,01-01-2023,2023-01-01
2023-01-01 03:00:00,user_3,view,prod_3,electronics,session_3,3,01-01-2023,2023-01-01
2023-01-01 04:00:00,user_4,remove_from_cart,prod_4,sports,session_4,4,01-01-2023,2023-01-01
2023-01-01 05:00:00,user_5,view,prod_0,electronics,session_5,5,01-01-2023,2023-01-01
2023-01-01 06:00:00,user_6,cart,prod_1,apparel,session_6,6,01-01-2023,2023-01-01
2023-01-01 07:00:00,user_7,purchase,prod_2,home,session_0,7,01-01-2023,2023-01-01
2023-01-01 08:00:00,user_8,view,prod_3,electronics,session_1,8,01-01-2023,2023-01-01
2023-01-01 09:00:00,user_9,remove_from_cart,prod_4,sports,session_2,9,01-01-2023,2023-01-01
2023-01-01 10:00:00,user_0,view,prod_0,electronics,session_3,10,01-01-2023,2023-01-01
2023-01-01 11:00:00,user_1,cart,prod_1,apparel,session_4,11,01-01-2023,2023-01-01
2023-01-01 12:00:00,user_2,purchase,prod_2,home,session_5,12,01-01-2023,2023-01-01
2023-01-01 13:00:00,user_3,view,prod_3,electronics,session_6,13,01-01-2023,2023-01-01
2023-01-01 14:00:00,user_4,remove_from_cart,prod_4,sports,session_0,14,01-01-2023,2023-01-01
2023-01-01 15:00:00,user_5,view,prod_0,electronics,session_1,15,01-01-2023,2023-01-01
2023-01-01 16:00:00,user_6,cart,prod_1,apparel,session_2,16,01-01-2023,2023-01-01
2023-01-01 17:00:00,user_7,purchase,prod_2,home,session_3,17,01-01-2023,2023-01-01
2023-01-01 18:00:00,user_8,view,prod_3,electronics,session_4,18,01-01-2023,2023-01-01
2023-01-01 19:00:00,user_9,remove_from_cart,prod_4,sports,session_5,19,01-01-2023,2023-01-01
2023-01-01 20:00:00,user_0,view,prod_0,electronics,session_6,20,01-01-2023,2023-01-01
2023-01-01 21:00:00,user_1,cart,prod_1,apparel,session_0,21,01-01-2023,2023-01-01
2023-01-01 22:00:00,user_2,purchase,prod_2,home,session_1,22,01-01-2023,2023-01-01
2023-01-01 23:00:00,user_3,view,prod_3,electronics,session_2,23,01-01-2023,2023-01-01
2023-02-01 00:00:00,user_4,remove_from_cart,prod_4,sports,session_3,0,02-01-2023,2023-02-01
2023-02-01 01:00:00,user_5,view,prod_0,electronics,session_4,1,02-01-2023,2023-02-01
2023-02-01 02:00:00,user_6,cart,prod_1,apparel,session_5,2,02-01-2023,2023-02-01
2023-02-01 03:00:00,user_7,purchase,prod_2,home,session_6,3,02-01-2023,2023-02-01
2023-02-01 04:00:00,user_8,view,prod_3,electronics,session_0,4,02-01-2023,2023-02-01
2023-02-01 05:00:00,user_9,remove_from_cart,prod_4,sports,session_1,5,02-01-2023,2023-02-01
2023-02-01 06:00:00,user_0,view,prod_0,electronics,session_2,6,02-01-2023,2023-02-01
2023-02-01 07:00:00,user_1,cart,prod_1,apparel,session_3,7,02-01-2023,2023-02-01
2023-02-01 08:00:00,user_2,purchase,prod_2,home,session_4,8,02-01-2023,2023-02-01
2023-02-01 09:00:00,user_3,view,prod_3,electronics,session_5,9,02-01-2023,2023-02-01
2023-02-01 10:00:00,user_4,remove_from_cart,prod_4,sports,session_6,10,02-01-2023,2023-02-01
2023-02-01 11:00:00,user_5,view,prod_0,electronics,session_0,11,02-01-2023,2023-02-01
2023-02-01 12:00:00,user_6,cart,prod_1,apparel,session_1,12,02-01-2023,2023-02-01
2023-02-01 13:00:00,user_7,purchase,prod_2,home,session_2,13,02-01-2023,2023-02-01
2023-02-01 14:00:00,user_8,view,prod_3,electronics,session_3,14,02-01-2023,2023-02-01
2023-02-01 15:00:00,user_9,remove_from_cart,prod_4,sports,session_4,15,02-01-2023,2023-02-01
2023-02-01 16:00:00,user_0,view,prod_0,electronics,session_5,16,02-01-2023,2023-02-01
2023-02-01 17:00:00,user_1,cart,prod_1,apparel,session_6,17,02-01-2023,2023-02-01
2023-02-01 18:00:00,user_2,purchase,prod_2,home,session_0,18,02-01-2023,2023-02-01
2023-02-01 19:00:00,user_3,view,prod_3,electronics,session_1,19,02-01-2023,2023-02-01
2023-02-01 20:00:00,user_4,remove_from_cart,prod_4,sports,session_2,20,02-01-2023,2023-02-01
2023-02-01 21:00:00,user_5,view,prod_0,electronics,session_3,21,02-01-2023,2023-02-01
2023-02-01 22:00:00,user_6,cart,prod_1,apparel,session_4,22,02-01-2023,2023-02-01
2023-02-01 23:00:00,user_7,purchase,prod_2,home,session_5,23,02-01-2023,2023-02-01
2023-03-01 00:00:00,user_8,view,prod_3,electronics,session_6,0,03-01-2023,2023-03-01
2023-03-01 01:00:00,user_9,remove_from_cart,prod_4,sports,session_0,1,03-01-2023,2023-03-01
2023-03-01 02:00:00,user_0,view,prod_0,electronics,session_1,2,03-01-2023,2023-03-01
2023-03-01 03:00:00,user_1,cart,prod_1,apparel,session_2,3,03-01-2023,2023-03-01
2023-03-01 04:00:00,user_2,purchase,prod_2,home,session_3,4,03-01-2023,2023-03-01
2023-03-01 05:00:00,user_3,view,prod_3,electronics,session_4,5,03-01-2023,2023-03-01
2023-03-01 06:00:00,user_4,remove_from_cart,prod_4,sports,session_5,6,03-01-2023,2023-03-01
2023-03-01 07:00:00,user_5,view,prod_0,electronics,session_6,7,03-01-2023,2023-03-01
2023-03-01 08:00:00,user_6,cart,prod_1,apparel,session_0,8,03-01-2023,2023-03-01
2023-03-01 09:00:00,user_7,purchase,prod_2,home,session_1,9,03-01-2023,2023-03-01
2023-03-01 10:00:00,user_8,view,prod_3,electronics,session_2,10,03-01-2023,2023-03-01
2023-03-01 11:00:00,user_9,remove_from_cart,prod_4,sports,session_3,11,03-01-2023,2023-03-01
2023-03-01 12:00:00,user_0,view,prod_0,electronics,session_4,12,03-01-2023,2023-03-01
2023-03-01 13:00:00,user_1,cart,prod_1,apparel,session_5,13,03-01-2023,2023-03-01
2023-03-01 14:00:00,user_2,purchase,prod_2,home,session_6,14,03-01-2023,2023-03-01
2023-03-01 15:00:00,user_3,view,prod_3,electronics,session_0,15,03-01-2023,2023-03-01
2023-03-01 16:00:00,user_4,remove_from_cart,prod_4,sports,session_1,16,03-01-2023,2023-03-01
2023-03-01 17:00:00,user_5,view,prod_0,electronics,session_2,17,03-01-2023,2023-03-01
2023-03-01 18:00:00,user_6,cart,prod_1,apparel,session_3,18,03-01-2023,2023-03-01
2023-03-01 19:00:00,user_7,purchase,prod_2,home,session_4,19,03-01-2023,2023-03-01
2023-03-01 20:00:00,user_8,view,prod_3,electronics,session_5,20,03-01-2023,2023-03-01
2023-03-01 21:00:00,user_9,remove_from_cart,prod_4,sports,session_6,21,03-01-2023,2023-03-01
2023-03-01 22:00:00,user_0,view,prod_0,electronics,session_0,22,03-01-2023,2023-03-01
2023-03-01 23:00:00,user_1,cart,prod_1,apparel,session_1,23,03-01-2023,2023-03-01
2023-04-01 00:00:00,user_2,purchase,prod_2,home,session_2,0,04-01-2023,2023-04-01
2023-04-01 01:00:00,user_3,view,prod_3,electronics,session_3,1,04-01-2023,2023-04-01
2023-04-01 02:00:00,user_4,remove_from_cart,prod_4,sports,session_4,2,04-01-2023,2023-04-01
2023-04-01 03:00:00,user_5,view,prod_0,electronics,session_5,3,04-01-2023,2023-04-01
2023-04-01 04:00:00,user_6,cart,prod_1,apparel,session_6,4,04-01-2023,2023-04-01
2023-04-01 05:00:00,user_7,purchase,prod_2,home,session_0,5,04-01-2023,2023-04-01
2023-04-01 06:00:00,user_8,view,prod_3,electronics,session_1,6,04-01-2023,2023-04-01
2023-04-01 07:00:00,user_9,remove_from_cart,prod_4,sports,session_2,7,04-01-2023,2023-04-01
2023-04-01 08:00:00,user_0,view,prod_0,electronics,session_3,8,04-01-2023,2023-04-01
2023-04-01 09:00:00,user_1,cart,prod_1,apparel,session_4,9,04-01-2023,2023-04-01
2023-04-01 10:00:00,user_2,purchase,prod_2,home,session_5,10,04-01-2023,2023-04-01
2023-04-01 11:00:00,user_3,view,prod_3,electronics,session_6,11,04-01-2023,2023-04-01
2023-04-01 12:00:00,user_4,remove_from_cart,prod_4,sports,session_0,12,04-01-2023,2023-04-01
2023-04-01 13:00:00,user_5,view,prod_0,electronics,session_1,13,04-01-2023,2023-04-01
2023-04-01 14:00:00,user_6,cart,prod_1,apparel,session_2,14,04-01-2023,2023-04-01
2023-04-01 15:00:00,user_7,purchase,prod_2,home,session_3,15,04-01-2023,2023-04-01
2023-04-01 16:00:00,user_8,view,prod_3,electronics,session_4,16,04-01-2023,2023-04-01
2023-04-01 17:00:00,user_9,remove_from_cart,prod_4,sports,session_5,17,04-01-2023,2023-04-01
2023-04-01 18:00:00,user_0,view,prod_0,electronics,session_6,18,04-01-2023,2023-04-01
2023-04-01 19:00:00,user_1,cart,prod_1,apparel,session_0,19,04-01-2023,2023-04-01
2023-04-01 20:00:00,user_2,purchase,prod_2,home,session_1,20,04-01-2023,2023-04-01
2023-04-01 21:00:00,user_3,view,prod_3,electronics,session_2,21,04-01-2023,2023-04-01
2023-04-01 22:00:00,user_4,remove_from_cart,prod_4,sports,session_3,22,04-01-2023,2023-04-01
2023-04-01 23:00:00,user_5,view,prod_0,electronics,session_4,23,04-01-2023,2023-04-01
2023-05-01 00:00:00,user_6,cart,prod_1,apparel,session_5,0,05-01-2023,2023-05-01
2023-05-01 01:00:00,user_7,purchase,prod_2,home,session_6,1,05-01-2023,2023-05-01
2023-05-01 02:00:00,user_8,view,prod_3,electronics,session_0,2,05-01-2023,2023-05-01
2023-05-01 03:00:00,user_9,remove_from_cart,prod_4,sports,session_1,3,05-01-2023,2023-05-01
